"GO.ID";"classicFisher";"weighted"
"GO:0006164";"1.000";"1.000"
"GO:0006165";"1.000";"1.000"
"GO:0006168";"1.000";"1.000"
"GO:0006177";"1.000";"1.000"
"GO:0006183";"1.000";"1.000"
"GO:0006188";"1.000";"1.000"
"GO:0006189";"1.000";"1.000"
"GO:0006195";"1.000";"1.000"
"GO:0006198";"1.000";"1.000"
"GO:0006206";"1.000";"1.000"
"GO:0006207";"1.000";"1.000"
"GO:0006213";"1.000";"1.000"
"GO:0006220";"1.000";"1.000"
"GO:0006221";"1.000";"1.000"
"GO:0006222";"1.000";"1.000"
"GO:0006228";"1.000";"1.000"
"GO:0006231";"1.000";"1.000"
"GO:0006241";"1.000";"1.000"
"GO:0006260";"1.000";"1.000"
"GO:0006261";"1.000";"1.000"
"GO:0006265";"1.000";"1.000"
"GO:0006268";"1.000";"1.000"
"GO:0006269";"1.000";"1.000"
"GO:0006270";"1.000";"1.000"
"GO:0006275";"1.000";"1.000"
"GO:0006278";"1.000";"1.000"
"GO:0006284";"1.000";"1.000"
"GO:0006289";"1.000";"1.000"
"GO:0006298";"1.000";"1.000"
"GO:0006304";"1.000";"1.000"
"GO:0006305";"1.000";"1.000"
"GO:0006306";"1.000";"1.000"
"GO:0006308";"1.000";"1.000"
"GO:0006310";"1.000";"1.000"
"GO:0006313";"1.000";"1.000"
"GO:0006325";"1.000";"1.000"
"GO:0006334";"1.000";"1.000"
"GO:0006338";"1.000";"1.000"
"GO:0006352";"1.000";"1.000"
"GO:0006354";"1.000";"1.000"
"GO:0006357";"1.000";"1.000"
"GO:0006364";"1.000";"1.000"
"GO:0006366";"1.000";"1.000"
"GO:0006367";"1.000";"1.000"
"GO:0006370";"1.000";"1.000"
"GO:0006379";"1.000";"1.000"
"GO:0006383";"1.000";"1.000"
"GO:0006388";"1.000";"1.000"
"GO:0006396";"1.000";"1.000"
"GO:0006397";"1.000";"1.000"
"GO:0006399";"1.000";"1.000"
"GO:0006400";"1.000";"1.000"
"GO:0006401";"1.000";"1.000"
"GO:0006402";"1.000";"1.000"
"GO:0006403";"1.000";"1.000"
"GO:0006405";"1.000";"1.000"
"GO:0006406";"1.000";"1.000"
"GO:0006412";"1.000";"1.000"
"GO:0006413";"1.000";"1.000"
"GO:0006414";"1.000";"1.000"
"GO:0006415";"1.000";"1.000"
"GO:0006417";"1.000";"1.000"
"GO:0006418";"1.000";"1.000"
"GO:0006419";"1.000";"1.000"
"GO:0006420";"1.000";"1.000"
"GO:0006421";"1.000";"1.000"
"GO:0006422";"1.000";"1.000"
"GO:0006423";"1.000";"1.000"
"GO:0006424";"1.000";"1.000"
"GO:0006425";"1.000";"1.000"
"GO:0006426";"1.000";"1.000"
"GO:0006427";"1.000";"1.000"
"GO:0006428";"1.000";"1.000"
"GO:0006429";"1.000";"1.000"
"GO:0006430";"1.000";"1.000"
"GO:0006431";"1.000";"1.000"
"GO:0006432";"1.000";"1.000"
"GO:0006433";"1.000";"1.000"
"GO:0006434";"1.000";"1.000"
"GO:0006435";"1.000";"1.000"
"GO:0006436";"1.000";"1.000"
"GO:0006437";"1.000";"1.000"
"GO:0006438";"1.000";"1.000"
"GO:0006446";"1.000";"1.000"
"GO:0006448";"1.000";"1.000"
"GO:0006457";"1.000";"1.000"
"GO:0006465";"1.000";"1.000"
"GO:0006468";"1.000";"1.000"
"GO:0006470";"1.000";"1.000"
"GO:0006471";"1.000";"1.000"
"GO:0006476";"1.000";"1.000"
"GO:0006479";"1.000";"1.000"
"GO:0006481";"1.000";"1.000"
"GO:0006486";"1.000";"1.000"
"GO:0006487";"1.000";"1.000"
"GO:0006493";"1.000";"1.000"
"GO:0006497";"1.000";"1.000"
"GO:0006505";"1.000";"1.000"
"GO:0006506";"1.000";"1.000"
"GO:0006508";"1.000";"1.000"
"GO:0006511";"1.000";"1.000"
"GO:0006516";"1.000";"1.000"
"GO:0006518";"1.000";"1.000"
"GO:0006520";"1.000";"1.000"
"GO:0006525";"1.000";"1.000"
"GO:0006526";"1.000";"1.000"
"GO:0006528";"1.000";"1.000"
"GO:0006529";"1.000";"1.000"
"GO:0006534";"1.000";"1.000"
"GO:0006535";"1.000";"1.000"
"GO:0006536";"1.000";"1.000"
"GO:0006537";"1.000";"1.000"
"GO:0006541";"1.000";"1.000"
"GO:0006542";"1.000";"1.000"
"GO:0006544";"1.000";"1.000"
"GO:0006545";"1.000";"1.000"
"GO:0006546";"1.000";"1.000"
"GO:0006547";"1.000";"1.000"
"GO:0006549";"1.000";"1.000"
"GO:0006551";"1.000";"1.000"
"GO:0006553";"1.000";"1.000"
"GO:0006555";"1.000";"1.000"
"GO:0006558";"1.000";"1.000"
"GO:0006559";"1.000";"1.000"
"GO:0006560";"1.000";"1.000"
"GO:0006561";"1.000";"1.000"
"GO:0006562";"1.000";"1.000"
"GO:0006563";"1.000";"1.000"
"GO:0006564";"1.000";"1.000"
"GO:0006566";"1.000";"1.000"
"GO:0006568";"1.000";"1.000"
"GO:0006569";"1.000";"1.000"
"GO:0006570";"1.000";"1.000"
"GO:0006571";"1.000";"1.000"
"GO:0006573";"1.000";"1.000"
"GO:0006575";"1.000";"1.000"
"GO:0006576";"1.000";"1.000"
"GO:0006577";"1.000";"1.000"
"GO:0006578";"1.000";"1.000"
"GO:0006586";"1.000";"1.000"
"GO:0006591";"1.000";"1.000"
"GO:0006595";"1.000";"1.000"
"GO:0006596";"1.000";"1.000"
"GO:0006597";"1.000";"1.000"
"GO:0006605";"1.000";"1.000"
"GO:0006606";"1.000";"1.000"
"GO:0006612";"1.000";"1.000"
"GO:0006613";"1.000";"1.000"
"GO:0006614";"1.000";"1.000"
"GO:0006621";"1.000";"1.000"
"GO:0006625";"1.000";"1.000"
"GO:0006626";"1.000";"1.000"
"GO:0006629";"1.000";"1.000"
"GO:0006631";"1.000";"1.000"
"GO:0006633";"1.000";"1.000"
"GO:0006643";"1.000";"1.000"
"GO:0006644";"1.000";"1.000"
"GO:0006650";"1.000";"1.000"
"GO:0006661";"1.000";"1.000"
"GO:0006662";"1.000";"1.000"
"GO:0006664";"1.000";"1.000"
"GO:0006665";"1.000";"1.000"
"GO:0006672";"1.000";"1.000"
"GO:0006684";"1.000";"1.000"
"GO:0006685";"1.000";"1.000"
"GO:0006690";"1.000";"1.000"
"GO:0006691";"1.000";"1.000"
"GO:0006694";"1.000";"1.000"
"GO:0006695";"1.000";"1.000"
"GO:0006696";"1.000";"1.000"
"GO:0006720";"1.000";"1.000"
"GO:0006730";"1.000";"1.000"
"GO:0006739";"1.000";"1.000"
"GO:0006740";"1.000";"1.000"
"GO:0006743";"1.000";"1.000"
"GO:0006744";"1.000";"1.000"
"GO:0006749";"1.000";"1.000"
"GO:0006750";"1.000";"1.000"
"GO:0006753";"1.000";"1.000"
"GO:0006754";"1.000";"1.000"
"GO:0006757";"1.000";"1.000"
"GO:0006760";"1.000";"1.000"
"GO:0006766";"1.000";"1.000"
"GO:0006767";"1.000";"1.000"
"GO:0006768";"1.000";"1.000"
"GO:0006771";"1.000";"1.000"
"GO:0006772";"1.000";"1.000"
"GO:0006777";"1.000";"1.000"
"GO:0006778";"1.000";"1.000"
"GO:0006779";"1.000";"1.000"
"GO:0006783";"1.000";"1.000"
"GO:0006787";"1.000";"1.000"
"GO:0006788";"1.000";"1.000"
"GO:0006790";"1.000";"1.000"
"GO:0006793";"1.000";"1.000"
"GO:0006796";"1.000";"1.000"
"GO:0006801";"1.000";"1.000"
"GO:0006808";"1.000";"1.000"
"GO:0006811";"1.000";"1.000"
