"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"TrF0324C";72,3654860690227;-1,01778452318203;0,28748418177518;1,64199865189215e-05;0,00152998508049079
"TrB0128C";1286,14670637482;-1,01136717794522;0,366551990793652;0,000208229118158318;0,0112623231665973
"TrB1271C";2015,81727574278;1,00649340562066;0,462698140724798;0,0008088575646381;0,0309437339057283
"TrC0553W";252,506058503208;1,01400768209265;0,298403195981075;2,84129948661947e-05;0,00243086086077962
"TrB1311C";565,8169585878;1,03587642821873;0,143108195498544;2,27307997903893e-14;2,67399446034192e-11
"TrA1426C";921,926530409962;1,07176841974095;0,276198686600157;4,49250969050804e-06;0,000521963070337916
"TrF1060W";5383,36896076439;1,0728499702558;0,403587887490863;0,000260015024450163;0,0133715923229534
"TrB0975W";165,409744706994;1,09236526361174;0,272967647697763;2,79721084359661e-06;0,000378732436391933
"TrG0742C";803,262312305012;1,10347314038501;0,195821215469433;8,49722569443215e-10;4,01842591896504e-07
"TrB1238W";65,6394502825881;1,15937364833807;0,355795305801436;4,39187034552957e-05;0,00341585882824618
"TrD1044C";11305,273433671;1,17603934678685;0,442217021753086;0,000263334037484717;0,0134318875940071
"TrD0036W";6601,02729371863;1,1784059301261;0,554360031261283;0,000892886847426456;0,0329527769456093
"TrG0109C";314,245563347514;1,20300125164226;0,447663530814245;0,000242558779423724;0,012567855883482
"TrC0042C";515,342061514198;1,2162282506054;0,328626828619004;8,75975931813512e-06;0,000915978832699663
"TrA0330C";954,111786844933;1,22958281933549;0,472658216920612;0,000292687015150915;0,0146514760616238
"TrC0691W";855,8749086279;1,23207724681141;0,409363353277315;9,45727853440663e-05;0,0063573177348072
"TrB1025W";213,848898546087;1,30381788777427;0,45296287051723;0,000137718062156153;0,00847101099968338
"TrD0541W";369,726506209332;1,31497218867572;0,651603787465109;0,00107382905695846;0,0372907942990261
"TrB0437W";27,3808732599907;1,32565711227337;0,606272651103242;0,000992105744057539;0,035772824357569
"TrA0485W";457,583658846778;1,32947170968297;0,348172659713764;5,43881638108643e-06;0,000609341678123862
