"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"TrD0200W";23,1981824210474;-8,10957084093029;2,86751089050177;1,15185224147159e-07;9,33356558553268e-07
"TrD1002W";22,1896564990488;-8,10303490328464;2,80326059538816;2,25022087202607e-08;2,03116226769986e-07
"TrE0180C";123,017929925697;-8,03380774039987;1,44797458952608;3,36237918931878e-10;3,82166747012895e-09
"TrC1268W";171,161399296485;-8,02112461207496;0,757850144388553;3,76027124893004e-26;1,42834392645231e-24
"TrA1372C";12141,5311499461;-8,00157130761772;0,444411485387002;1,97101092576698e-73;4,79518800940167e-71
"TrE1304C";53,0999034438849;-7,99288719744582;1,31751786878312;9,5253247737171e-12;1,30294201523215e-10
"TrD0360W";28345,8607836677;-7,99117662126414;0,47171189044224;1,36087819103413e-65;2,78109067119735e-63
"TrB0628C";1450,75226767781;-7,8793036870848;1,49498386950232;4,64596550392675e-09;4,56027622662089e-08
"TrF0462C";13,7186135895394;-7,85897818020575;2,74976280407207;2,39431676638475e-08;2,14606392271222e-07
"TrE0664C";2881,18710100644;-7,83764091007719;0,882815094506722;3,21279540364141e-20;8,8248235038731e-19
"TrB0851C";210,166291684271;-7,83641655739211;0,787743529478239;1,3639911389867e-23;4,64575381938871e-22
"TrB1555C";164,574703454416;-7,80535184500883;0,762907498577885;8,33630306406865e-25;3,06404117657027e-23
"TrD0073C";88,6788015037119;-7,76851824073258;1,05120789578682;4,10722220397551e-14;7,1131519458003e-13
"TrA0006W";9,56634236839462;-7,76514661730056;2,73802977479895;3,48049726950005e-08;3,06583802584065e-07
"TrF0452W";11,0886882585182;-7,71820433840929;2,75410234095011;7,48931280922171e-08;6,26234028515773e-07
"TrD1299W";682,838101728449;-7,69294940818201;0,726377491229128;1,57608618360703e-27;6,91178052536337e-26
"TrE0110C";2104,86965123449;-7,66962328238813;0,568727872573387;1,196187213891e-42;1,04467016679814e-40
"TrC0020W";29,241693339352;-7,66476878174544;2,76246780796958;1,25918632021878e-07;1,01389801576009e-06
"TrE0427W";15,6766895368049;-7,65253790693109;2,83169273126582;6,0413853829571e-07;4,39053171003241e-06
"TrG0133W";178,227918147412;-7,65142956557262;0,911033994482707;3,68701871478471e-18;8,82294080273307e-17
"TrA1886C";6,6808134345942;-7,53761864067435;2,90567393332128;3,18191529688003e-06;2,05517133397726e-05
"TrA1965W";10,1570536296303;-7,48272053974522;2,67291824702994;4,08896642866303e-08;3,55583480579395e-07
"TrA2146C";10,8712199005879;-7,46072363322251;2,79923535204431;8,26237635141644e-07;5,87099871757811e-06
"TrG0016W";1173,12262700443;-7,45299702313646;1,3417900835039;1,02555662069979e-09;1,09844209122751e-08
"TrB0009W";352,732003741399;-7,39873211102059;0,448748286166083;4,51451760153509e-61;7,81853234787891e-59
"TrF0219W";42,8258942923722;-7,36416967442019;1,12947869111438;7,62724962203436e-11;9,41246819298878e-10
"TrE0190W";238,021148438072;-7,30526525456717;0,698418681180377;3,26189380121539e-26;1,24831576257749e-24
"TrD1309W";9,95502318128972;-7,30397068925251;2,67500899032404;1,40547172585691e-07;1,12371753480485e-06
"TrC1253C";37,0008808532934;-7,26867338301515;1,63750932344372;2,25874426508425e-07;1,75245625669179e-06
"TrD1007C";72,4144400335726;-7,25965607558364;2,16845684141008;2,45014432401469e-05;0,000134527537360463
"TrF0067W";125,138369936236;-7,25618060777796;0,940931682622387;9,74118588125309e-15;1,80645076832385e-13
"TrF1187C";2138,1656268592;-7,2457377960292;0,698009748315757;1,50886877668733e-26;6,02250826569964e-25
"TrG0015C";691,668901176543;-7,2415223631044;2,42358570171441;4,20504438894582e-05;0,000220910763836753
"TrE0035W";34,6737007462604;-7,23052844373854;1,30974956640852;5,02065781517364e-10;5,61895745404647e-09
"TrA1900W";46,4798922134762;-7,22217133462945;1,20215604374371;9,43787962397013e-10;1,01833425551982e-08
"TrG1008W";10,7724626758091;-7,20964690918071;2,69579702303727;4,06682161589217e-07;3,02877429090278e-06
"TrA1961C";188,145732229355;-7,20532264381853;0,622590292412161;2,18907009993406e-31;1,18978288729395e-29
"TrF0233W";9,3241381223137;-7,19778815825437;2,68748513722688;3,57062926482894e-07;2,68467180485814e-06
"TrD1290C";24,5095408415928;-7,16610847297309;1,31721688876453;8,82028954362981e-10;9,56619462731274e-09
"TrD1348C";6,49873697202999;-7,13894038616644;2,70813359609224;7,45797544328128e-07;5,33279167805795e-06
"TrD1254C";1812,20069269797;-7,13502981737706;1,51992532828267;8,24415743638506e-08;6,80442654967549e-07
"TrA2147C";8,85132089814318;-7,10489005212246;2,76419586511434;2,27371292250006e-06;1,50862328844842e-05
"TrD0075C";93,2021478361778;-7,04540263394675;0,958794924125851;3,35270099291875e-14;5,86607855233626e-13
"TrD0975C";67,2288295401532;-7,04197940033939;1,1107294006678;4,76842459181017e-11;6,04513182123031e-10
"TrA1531C";11,301159297023;-7,0355170118606;2,79456085302576;5,03355601466156e-06;3,13423981461376e-05
"TrC0144C";6,97184980544189;-6,9950541970506;2,89853021827216;1,88380095538055e-05;0,000105761967923508
"TrC0162C";48,8221466863541;-6,97447084472577;1,03645453073512;3,80760497450993e-11;4,91238732696244e-10
"TrG1010C";9,23387101525997;-6,95125256101386;2,60600128475775;2,44289432792903e-07;1,88530923283828e-06
"TrC0397C";186,126853080726;-6,94976027884547;0,767268989154496;1,65874811876511e-20;4,63089843648685e-19
"TrG1061C";510,994594258032;-6,8895162199096;0,475126501915737;1,31252020408852e-48;1,42673738780601e-46
"TrF1124C";69,1123257270467;-6,84506852946493;1,04339914906803;8,28994790466003e-11;1,01566771810331e-09
"TrA1899C";89,818360313544;-6,81743881336178;1,02642447903087;2,62636640497323e-12;3,83374456085949e-11
"TrD0030C";347,344873235983;-6,77371129026268;0,574335611165678;4,88980067371903e-33;2,90488274907332e-31
"TrG0019C";5124,7576245523;-6,75273178264744;0,429851980275323;7,07289287793291e-57;1,09501241555634e-54
"TrA0071W";10,97492829707;-6,71970828677619;2,62494409643114;1,4300771824665e-06;9,76120818332847e-06
"TrB1809W";748,977696014086;-6,71240652801868;0,455226599506168;3,87671971540858e-50;4,35300242330163e-48
"TrD0074W";181,401058696887;-6,69556892677625;0,663550409611019;5,26541337048191e-25;1,94934760215885e-23
"TrG1028C";72,8184346288195;-6,6896897589959;0,893480320796073;6,6267930572703e-14;1,12479354583369e-12
"TrF0237C";27,0703105633436;-6,66929469791931;1,29797357173125;6,66784533752365e-09;6,4275512885676e-08
"TrB0872C";9,04148493402301;-6,66921249883621;2,68778567726493;5,03159741125172e-06;3,13423981461376e-05
"TrD1412C";46,0821491590052;-6,63948626300265;1,0308806095549;2,09778628828693e-10;2,43029255030792e-09
"TrB1903W";319,770359902647;-6,62930535938998;0,601646199630203;3,67356193612688e-29;1,7705875407238e-27
"TrF0126W";15,1004877225267;-6,60472450893413;1,53403244854883;5,1058196779875e-07;3,7479357377641e-06
"TrE0659C";14866,4633130707;-6,59633533589907;0,412241811331784;7,67302098643957e-59;1,26456336192644e-56
"TrA1948C";2373,89144220674;-6,57804059669314;1,23375755758777;3,87595795018689e-09;3,84883754470453e-08
"TrE0072W";5398,27441250383;-6,55923466899005;0,517260885860761;4,2402172801596e-38;3,05116480061062e-36
"TrC1526W";430,755597030135;-6,55477736379858;0,680748496853101;3,54974312984223e-23;1,18922214100747e-21
"TrF1086C";9,32328639775188;-6,5499595339043;2,84871670080497;4,38633734682249e-05;0,0002292562404595
"TrA0298C";20,5405135698698;-6,54141258648679;2,65643736712591;5,38345989856749e-06;3,33181061438901e-05
"TrE0154W";8,19774496881164;-6,51980382796628;2,68882000200786;9,36630445732329e-06;5,54168494180251e-05
"TrF1162W";19,3211721450496;-6,50360552076753;1,33205896404437;3,0603121736231e-08;2,71679146742666e-07
"TrD1382C";175,452994089855;-6,48881351404315;0,590375944234842;2,31673917495342e-28;1,07115117147846e-26
"TrE0210W";4,83223673403653;-6,39511659452693;2,65332912419416;9,83530710441572e-06;5,79568442865743e-05
"TrF1047C";794,685896928823;-6,39153501717104;1,11937266442562;4,92071562526617e-10;5,51314388804493e-09
"TrE1139W";417,055490533844;-6,35539783546309;0,667221855299207;1,10192508699166e-22;3,47514522804962e-21
"TrC1575C";683,756419642183;-6,32845562037748;0,523581388215288;9,22562421974722e-35;5,92876907404888e-33
"TrA0210C";816,167664478925;-6,24852226078035;0,401809539467201;7,53783960239555e-56;1,06974507023997e-53
"TrA0422W";78,472815308286;-6,23383951863372;2,04448111078804;6,79609937665643e-05;0,000343265167724545
"TrB0797W";3361,83864543798;-6,21145851212407;0,488743248277428;3,26488399998905e-38;2,36599891573674e-36
"TrE0009C";179,406508074964;-6,20452584699393;0,643501958898586;7,20823048442534e-23;2,30167809655807e-21
"TrC0445W";28,7756657145333;-6,17766907432746;1,0520237678358;4,32920034687199e-09;4,27398735694087e-08
"TrA1909W";412,038617243145;-6,1770691095232;0,50303164748875;8,19316270166868e-36;5,47174748272226e-34
"TrD1300W";7243,46250513376;-6,14974536183813;0,331345430825086;4,28236321803526e-78;1,12197916312524e-75
"TrB1902C";567,09167977521;-6,11708659075046;0,452270591738301;7,88483313806346e-43;6,94545043144245e-41
"TrG0018C";2805,70078137536;-6,08464071824675;0,570713686498509;8,76654428704615e-28;3,87777270671158e-26
