"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"TrG1195C";5629,19393138719;-8,30314574451884;1,01007437509171;-8,22033104618155;2,0294220241384e-16;3,75263161165591e-15
"TrC0445W";28,7756657145333;-8,29929658789456;1,26119963847823;-6,58047808981971;4,68937935544098e-11;5,11029647835882e-10
"TrG1206C";18124,7060226277;-8,27588426729671;0,986335060071262;-8,39054049918775;4,83912194849373e-17;9,43312201884881e-16
"TrG1060W";42,8348763456286;-8,24178288988452;1,40846014138619;-5,85162664367133;4,86788406814426e-09;4,23765967835363e-08
"TrA1880W";6168,71616931185;-8,24043183291006;1,29181521559944;-6,37895554519092;1,78299779091997e-10;1,82840550260613e-09
"TrD0539C";47,7604470766119;-8,23327263619085;1,57445191673381;-5,22929442854674;1,70158190137823e-07;1,16979549436213e-06
"TrA1878W";347,804611543178;-8,20633273686582;0,683814087805698;-12,0008243222939;3,51775243117779e-33;1,7723014543359e-31
"TrB1918C";2529,10634619797;-8,2006389402515;1,05969650040223;-7,7386675686282;1,00464078098829e-14;1,60943144468923e-13
"TrG1069W";161,464651329491;-8,19674380955069;0,921878181504876;-8,89135243028565;6,03695691665964e-19;1,35688413111731e-17
"TrE1142C";1131,01470986249;-8,17441878110333;1,29308449726194;-6,32164317058351;2,58796440813369e-10;2,61023992383233e-09
"TrD1007C";72,4144400335726;-8,1500869832215;1,86261613776391;-4,37561278353668;1,21091810346311e-05;6,0883073741162e-05
"TrF1087W";42,6714652479758;-8,13338747078027;1,44016073287596;-5,64755536316985;1,62745434309445e-08;1,31063485282873e-07
"TrB0009W";352,732003741399;-8,09439561242855;0,55212149322319;-14,6605334365356;1,15363055148281e-48;1,15684740590521e-46
"TrB0851C";210,166291684271;-8,09041151610936;0,796869717580028;-10,1527405768144;3,22186364472388e-24;1,01207276960317e-22
"TrC0398W";546,588613302833;-8,08999763132956;1,46049472362949;-5,53921729427752;3,03826474821419e-08;2,34191153430346e-07
"TrC1551C";1129,54081113611;-8,07430335666629;1,14004707614253;-7,08242977473048;1,41648548656629e-12;1,84196098995011e-11
"TrG0022C";50403,5822010538;-8,07051928348207;0,58048235168445;-13,903126012467;6,06342272153625e-44;5,14109232218712e-42
"TrF0715W";109,844116074727;-8,07043236838054;1,04455319699231;-7,72620522498857;1,1079994992523e-14;1,76148274050339e-13
"TrE0168W";13030,7674968089;-8,06815000585511;0,934477630703248;-8,63386103719077;5,93150524739494e-18;1,22011179931128e-16
"TrA0865C";871,472964247237;-8,05697392105416;1,51468070104932;-5,31925567908311;1,04192627380883e-07;7,39200619697435e-07
"TrF0083C";551,308224115134;-8,0566257787658;1,24080898455814;-6,49304274794141;8,41198069161325e-11;8,91550270658888e-10
"TrF0061W";34,6970544530893;-8,00960509259151;2,15010824843506;-3,725210160196;0,000195152567194343;0,000764842586722964
"TrD1281C";27,125997924752;-7,99684643821034;1,28767056002623;-6,21032015987651;5,28767594964459e-10;5,16824484337801e-09
"TrC1526W";430,755597030135;-7,97844411623404;0,71684887549954;-11,1298830045234;8,97532302731834e-29;3,67073113144718e-27
"TrG0835C";12,5928769078448;-7,96513959380881;1,59230238596014;-5,00227825068913;5,66567347501721e-07;3,58322065924527e-06
"TrB0848C";149,285014278939;-7,93657876307369;0,8235769980431;-9,63671737060625;5,59485106714435e-22;1,55596538077996e-20
"TrF0219W";42,8258942923722;-7,90694036245421;1,32212199156403;-5,98049227900715;2,22464271503972e-09;2,02804185971584e-08
"TrA1372C";12141,5311499461;-7,81069402453607;0,441394270363966;-17,6955038815876;4,54149978723876e-70;8,77098171872464e-68
"TrG0354C";614,86987433152;-7,79605687078638;1,27788969477896;-6,1007275531202;1,05586747634671e-09;9,99241552705978e-09
"TrF1129W";225,1246712896;-7,79598108523287;0,696307390975316;-11,1961774157144;4,2570879618859e-29;1,78301888973928e-27
"TrB0423W";15,8634656428192;-7,76368881539889;2,35927992420757;-3,29070269947155;0,000999374723857051;0,00334053813945679
"TrC0296W";1361,54115474286;-7,75385600979924;1,45307431065987;-5,33617307312938;9,49287949977795e-08;6,79020852559562e-07
"TrD1299W";682,838101728449;-7,74897805403293;0,667404794861175;-11,6106119010499;3,64001355986866e-31;1,69471881320849e-29
"TrA0005W";17,9228517917923;-7,7399496796519;1,32139492029288;-5,85740838018085;4,70146031682118e-09;4,11338335940672e-08
"TrE0660W";17945,0787296157;-7,72263695177732;0,43004059811948;-17,9579253343697;4,16070871923474e-72;9,04000650685398e-70
