"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"TrG0791C";75,7867215670756;-1,5090985797712;0,429142806442897;-3,51654171318843;0,000437207954022283;0,0217041221494306
"TrG1045C";457,347582267813;-1,50692974386438;0,209835131129866;-7,18149404129927;6,89536901680394e-13;6,53743667965894e-10
"TrG0711W";242,623214623311;-1,49319887674798;0,422904684774317;-3,53081658942801;0,000414278906470856;0,0207717053633873
"TrE1281W";396,327973828564;-1,4638323421931;0,437147928099939;-3,34859723241888;0,000812217753958624;0,034294003870585
"TrA1894W";49,8703176177654;-1,45511475652774;0,383450957303105;-3,79478712678639;0,00014777018536781;0,00981589339618404
"TrE1115W";1413,66073579774;-1,43404216236963;0,390751240294645;-3,66996189516455;0,000242586627540262;0,0139274725139915
"TrA0695C";409,745406857772;-1,42086488154161;0,38350218715981;-3,70497204217905;0,000211414050102221;0,012599069305806
"TrA0174W";4126,6992330375;-1,3961821452026;0,286239666059637;-4,87766829951413;1,07347245080532e-06;0,000203549894353613
"TrE0150C";400,7104603412;-1,39120327014488;0,259579447342952;-5,35945077464798;8,34753344173429e-08;2,07277205390112e-05
"TrC0487C";1498,64054768914;-1,37775275534867;0,29981774148375;-4,59530096027805;4,32125107524407e-06;0,000575648390148099
"TrG1015C";523,356147161496;-1,3564320192135;0,336313536271479;-4,03323646812291;5,50138699044921e-05;0,00444759418010812
"TrA1360C";731,771592599586;-1,35502305677678;0,23790301727317;-5,69569512950265;1,22870266871062e-08;4,41866901102863e-06
"TrG0214W";4666,68725944913;-1,35295761592674;0,283880557495882;-4,76593968907634;1,87975486265342e-06;0,000311174023216072
"TrE1252W";587,777776027823;-1,34448301878016;0,320545616285756;-4,19435784010723;2,73645703321227e-05;0,00261821196324502
"TrC0660W";284,607558615436;-1,32521969173282;0,293436526152915;-4,51620563093165;6,2957531779092e-06;0,000772451881087235
"TrC0702W";1294,63693903944;-1,31224562189429;0,245100003594225;-5,35391922746265;8,60692926108583e-08;2,08748058753172e-05
"TrD0324W";351,789138355946;-1,30968965162276;0,245700815550649;-5,33042451929829;9,79834519133453e-08;2,32243050000972e-05
"TrC0017W";102,869829229814;-1,29144868983945;0,372284888577801;-3,46897961604895;0,000522439091203679;0,0246539243536795
"TrA2006W";35,7677774738583;-1,26622611486092;0,389573277166102;-3,25028996873686;0,00115287391808948;0,0432493600422849
"TrA1903C";1477,65303381915;-1,26012719681354;0,354289812673436;-3,55676949135157;0,000375443314176294;0,0193836550670523
"TrE1253C";820,999867091343;-1,25785494935191;0,377890129710122;-3,3286261017635;0,000872754851913233;0,0358344895693036
"TrB0188C";938,940991297418;-1,24546436088998;0,366014609253305;-3,40277226483065;0,000667058561937411;0,029477770095107
"TrA0639W";118,947585098798;-1,23942794481168;0,32924080382605;-3,76450285143428;0,000166880764107017;0,0106772974777428
"TrB1867C";4545,42485142037;-1,22070394442208;0,293998455091855;-4,15207605101425;3,29472726994264e-05;0,00298788788680277
