"";"WT_1_DD";"WT_2_DD";"WT_3_DD";"mutant_1_DD";"mutant_2_DD";"mutant_3_DD";"WT _1_LL";"WT _2_LL";"WT _3_LL";"mutant_1_LL";"mutant_2_LL";"mutant_3_LL"
"TrA0029W";0;0;0;0;0;0,905135055735009;0;0;0;0;0;0
"TrA0030W";8,59546003931247;6,49119385895738;12,0900482208641;10,5150342072485;20,3193134297418;17,2245850158528;0,208480070118626;0,45166519057911;0,603898199980027;0,48356165267813;0,363696543529154;0,346017030025369
"TrA0031W";0,0368011005669057;0,0450269817706663;0;0;0;0,068502152242605;0;0;0;0;0;0
"TrA0032W";0;0;0;0;0,071931523666479;0;0;0;0;0;0;0
"TrA0033W";30,6885099217633;134,41510514039;25,2930767001259;42,5982168249787;37,8035417418164;49,8159515860083;30,0665505916613;27,834169284672;24,4109679629936;40,9394462376299;42,6832361804542;38,426435036386
"TrA0034W";99,2848422099973;94,399067282202;80,3263644652352;97,5699935576228;75,1504593505539;73,0285950523977;105,537244384495;98,8195207226482;115,504563411565;99,9386334140764;98,7169918035155;106,31126092508
"TrA0035W";48,2345830885782;52,0730357002246;59,8534157871865;65,5878404158006;52,3462078166951;49,7674918433837;108,6105479484;88,6873669263852;93,6801107173891;66,0803755471639;74,416553931875;93,8343370849788
"TrA0036C";32,1949817787945;49,8022812233739;31,2204817077222;34,7908557481214;31,268292353169;33,9006791077997;53,5603967650433;35,5711594869051;44,1777905988515;36,8598417328106;33,7859219980321;40,442283010929
"TrA0037W";22,603111482441;211,435663837152;2,75943457850305;32,4713038954138;13,7707047168013;20,0392691409239;1,02374145777772;1,81464715430823;0,894896795937227;7,07792496555656;15,4322842496496;1,13710120818485
"TrA0038C";1,40312671876701;1,40051260385176;1,8027267952247;1,43175487804525;2,69219089581877;2,19941248607413;1,52862103897141;1,84325066354806;1,29292262477363;1,5918925204859;1,12473139163976;1,39797835246431
"TrA0039W";0,899749356717408;0,550431879196513;0,817802353152847;0,953970605126132;0,431589141998874;0,837403861088172;1,33030139980456;0,786014747241568;1,39740337012647;2,42438733349511;1,76817548600115;1,23012584960039
"TrA0040W";0,159738110431714;0;0,248896368350866;0;0;0,446008578188265;0;0,0797406265317532;0;0;0,156957606547203;0,268790040715359
"TrA0041C";10,164668427138;18,2804542990931;9,79545485220854;12,7620067619096;7,98919456189026;10,7141171782559;4,75952278596744;5,62437219137299;6,77811210439121;8,51963993255505;5,17436909583947;5,97609857190482
"TrA0042C";0,687795920111591;1,05191739784045;2,21482821384297;1,16679088052869;1,81455965317779;1,344287945491;3,39942853803412;4,63515716782079;3,84558431342136;4,17829455064992;4,32527170366583;4,45579246901936
"TrA0043W";1,33299932691728;2,3256209184865;1,589815100866;2,09382126097113;2,88918240858821;2,41234202984247;0,771664193839601;1,08440108466026;0,669183085928423;1,04004562998559;0,945963984811924;0,913825939094995
"TrA0044C";105,938935180489;113,331251927148;78,5217296285475;94,5523797438025;73,4221124442822;59,5174631600201;11,8978024223297;12,2221477590495;9,2344558806804;15,6016707201938;14,594314460426;9,68740183634521
"TrA0045C";0,832825850845865;0,38211799878105;0,919182810155265;0,599188148674265;0,574263238527427;0,726672772018662;0,329826793339974;0,805502716181441;0,382159899869297;0,459012477866844;1,04848422413704;0,832074954847311
"TrA0046W";0,455794082021318;0,101395346167779;1,07605572783269;0,451880812954484;0,675777735498236;1,00268093893452;1,96044416813304;2,06845986116202;1,77851338016096;2,72018578806031;1,99501378848156;1,35961278113728
"TrA0047C";19,6996428652185;28,5813807123085;21,9586034824175;17,4419998698435;22,2131523513488;22,506791087381;31,7932106930904;29,2761164439005;33,6789380758092;28,2883566816706;29,0553127552735;26,1588874699179
"TrA0048W";0;0;0;0;0,390022154962097;0;0,457972613047472;0;0;0;0;0
"TrA0049W";2,67109346311779;1,2569782594168;2,16483499076945;2,4897235499963;2,44988616823062;1,74840113739847;6,1502083357143;5,21637483389078;5,73576485585865;6,15473322334578;4,35510333585968;4,91445545813928
"TrA0050C";10,3644811863272;5,11032544685605;8,23541317034621;7,77904451337941;5,30551775085282;3,99529789513909;22,25104130831;18,9581241141703;19,7009359339233;13,3383836453345;13,6800945495878;11,1279076856159
"TrA0051C";0;0,122318195377003;0,0519239589303395;0,0605695622302306;0,095908698221972;0;0,0422317904699861;0;0;0;0;0
"TrA0052W";0,036078329361009;0,044142654796447;0;0,0218585736035448;0,103835685554557;0,0167891936142882;0,0609630756047918;0;0;0;0;0
"TrA0053C";2,55866223316513;19,0243018247295;0;0,715477953844599;0,188820249624507;0,915910473065188;0;0;0;0;0,966970968906878;0
"TrA0054C";0;0;0;0;0;0;0;0,185725003567628;0;0;0;0
"TrA0055W";0;0;0;0;0;0,0313706339398474;0;0;0;0;0;0
"TrA0056C";3,42573488182608;5,2848898671503;2,47550982575997;3,2486566552944;5,2869669894862;4,99047436134978;1,76175050244388;3,27152083987031;2,18709077830604;3,35661489539188;3,80516143440112;4,63662820233995
"TrA0057C";9,82930703310485;21,9040472069794;7,32424176450326;10,2906317832393;8,32335825693191;10,0020473063385;5,73563956681492;8,19100266923317;6,69110146828689;9,57961891563943;7,41750667611421;7,54210152295012
"TrA0058W";0,490702346086463;1,98589035867646;0,980242546587316;1,05198128373498;0,615605745351133;0,94853194196888;0,0637815739632325;0,640655855628401;0,170542378919544;0,480801597582935;0,259625082062669;0,603396820852459
