"";"mutant_DD";"mutant_LL";"WT_DD";"WT_LL"
"TrA0067W";5,72270268771538;6,67510091339966;5,47324347218962;6,63492789908813
"TrA0068W";-3,82408167492874;-4,43177961523502;-4,91812421968957;-4,38072886335668
"TrA0069C";4,63237418696409;5,334311747393;4,49301764145291;5,32277961558054
"TrA0070W";-1,29499845275587;-4,20240719229745;-0,938627961921135;-3,40557112440259
"TrA0071W";-0,085880664544992;-4,96862819080281;0,742074419158127;-3,42851996971569
"TrA0072C";7,94054224762189;4,29449587563178;8,04000867409992;5,19732347614402
"TrA0073C";4,13003613000211;4,00409748129549;4,29639882951745;4,46582497984503
"TrA0074C";-0,739864674295579;1,62309636051842;-0,452668517834531;3,69848703874433
"TrA0075W";-4,86508699255889;-4,43177961523502;-4,91812421968957;-4,38909364259569
"TrA0076W";3,03117204089895;4,59053609829557;2,76231584031155;6,32296578179213
"TrA0077W";2,19339739430784;3,95390705994105;2,47196108081232;5,59985670262923
"TrA0078W";3,31015360081383;4,25219465228584;3,29631664836229;4,38841116350682
"TrA0079C";2,40413330537764;3,3199976600995;2,18122233632486;3,23638236072647
"TrA0080W";2,26904969770115;2,96905849561585;1,82545393671387;2,63151413303919
"TrA0081C";7,81537061026209;7,55206182431014;7,76726723192786;7,55208874402705
"TrA0082C";-4,3350561209254;-4,96862819080281;-4,91812421968957;-4,35419059486636
"TrA0083W";5,92848216473461;5,92768046299299;6,30646820067015;6,10117424395466
"TrA0084W";1,0152024979851;0,79079811956171;0,758424371678145;0,712889186578783
"TrA0085W";-0,457645603477463;-1,17480773256138;-0,559643151079473;-0,87865213074097
"TrA0086W";-0,300704613517141;-1,00352937172441;-0,0588637588334169;-0,72731917623064
"TrA0087C";3,48562595699501;3,41060778512893;3,39957779221026;3,22668490284483
"TrA0088C";0,742187364869506;0,650465166074026;1,0161421793215;0,831410388929934
"TrA0089C";-1,9117161967679;-0,624787900877727;-3,33134161637905;-1,54772755948872
"TrA0090W";7,68432187184676;8,07183188031958;7,85546053131893;7,07252343610579
"TrA0091C";5,68157805412158;6,13506077756166;5,54970098127666;6,04682266638464
"TrA0092W";5,44634850527117;5,96534359294172;5,03218444463167;5,76368553408948
"TrA0093C";5,81599334833889;5,85852756409427;5,70927730572866;5,72692010214647
"TrA0094C";1,50999663927777;-0,805365658097531;0,64532358446346;-0,539028100868665
"TrA0095W";-2,61997880396704;-4,20240719229745;-3,43880526197849;-3,58837893351857
"TrA0096C";3,20745647229708;0,563044270676718;3,20783618889875;-0,0561117227300496
"TrA0097W";5,10950114200855;0,985015252044943;5,05224193725739;0,287584423901349
"TrA0098C";1,95636691223989;1,68559206977754;0,949464963925241;1,41520480662017
"TrA0099W";-3,79444143387138;-4,43177961523502;-4,91812421968957;-4,38909364259569
"TrA0100W";3,19518689131938;1,64646701329793;3,18315013073837;1,52028738986238
"TrA0101C";-2,48890594189186;-4,96862819080281;-1,00515091679855;-4,89930685457746
"TrA0102C";2,85344715366593;-2,04674317953754;3,67922135777036;-3,3091578036595
"TrA0103C";4,56110827939625;4,44349189856789;4,63927793661031;4,40638214366455
"TrA0104W";6,22863835971242;6,19666810844652;6,11094189820357;6,28851633569937
"TrA0105C";9,56684543032694;9,93113502403269;9,39593926540945;10,1431240922058
"TrA0106C";1,2611058691666;2,8304769125195;1,14597205353905;2,91129503972087
"TrA0107W";4,11157593935182;3,92608970323739;4,26715341996359;4,07775359395408
"TrA0108C";6,56611241368214;6,76882573195495;6,63949056379406;6,68276070018179
"TrA0109W";-3,6885706410755;-3,38487929253233;-3,61778675420236;-4,89930685457746
"TrA0110C";4,48727161387699;4,82592545460004;4,27303963728024;4,61300622783961
"TrA0111C";8,61693383573848;8,47258763436267;8,56037135640103;8,62335435260501
